opponent_move,response,n_qualifying_players,n_players_using_response,pct_players_using,avg_frequency_across_players_pct,avg_winrate_across_players_pct
driven flight,cross-court net shot,3,0,0.0,3.0,
driven flight,drive,3,0,0.0,3.9,
driven flight,return net,3,0,0.0,4.7,
driven flight,smash,3,0,0.0,3.0,
drop,net shot,42,42,100.0,54.8,44.2
drop,lob,42,40,95.2,22.6,46.4
drop,push,42,28,66.7,7.6,45.0
drop,cross-court net shot,42,26,61.9,6.4,49.9
drop,return net,42,18,42.9,6.5,45.2
drop,rush,42,6,14.3,0.9,73.8
drop,drive,42,2,4.8,0.3,47.1
drop,driven flight,42,1,2.4,0.2,33.3
drop,clear,42,0,0.0,0.0,
drop,defensive return drive,42,0,0.0,0.0,
drop,defensive return lob,42,0,0.0,0.2,
drop,drop,42,0,0.0,0.2,
drop,smash,42,0,0.0,0.0,
drop,wrist smash,42,0,0.0,0.0,
lob,clear,43,43,100.0,29.2,44.9
lob,smash,43,42,97.7,27.4,54.1
lob,drop,43,41,95.3,24.1,48.3
lob,wrist smash,43,40,93.0,14.5,52.5
lob,back-court drive,43,36,83.7,4.2,46.8
lob,drive,43,1,2.3,0.1,100.0
lob,lob,43,1,2.3,0.1,75.0
lob,net shot,43,1,2.3,0.1,100.0
lob,cross-court net shot,43,0,0.0,0.1,
lob,defensive return drive,43,0,0.0,0.0,
lob,defensive return lob,43,0,0.0,0.1,
lob,driven flight,43,0,0.0,0.0,
lob,push,43,0,0.0,0.0,
lob,return net,43,0,0.0,0.2,
lob,rush,43,0,0.0,0.0,
net shot,lob,43,43,100.0,53.0,46.4
net shot,net shot,43,42,97.7,30.8,44.5
net shot,push,43,38,88.4,10.3,50.7
net shot,rush,43,34,79.1,2.5,77.7
net shot,cross-court net shot,43,31,72.1,3.0,40.1
net shot,drive,43,4,9.3,0.2,80.4
net shot,clear,43,0,0.0,0.1,
net shot,defensive return lob,43,0,0.0,0.0,
net shot,driven flight,43,0,0.0,0.1,
net shot,drop,43,0,0.0,0.0,
net shot,return net,43,0,0.0,0.0,
net shot,smash,43,0,0.0,0.0,
net shot,wrist smash,43,0,0.0,0.0,
push,clear,42,38,90.5,32.0,41.0
push,drop,42,35,83.3,11.3,44.1
push,wrist smash,42,32,76.2,10.4,49.6
push,back-court drive,42,31,73.8,12.4,43.7
push,smash,42,31,73.8,11.4,54.4
push,return net,42,26,61.9,8.9,50.5
push,drive,42,25,59.5,7.7,49.1
push,defensive return lob,42,9,21.4,2.7,35.5
push,defensive return drive,42,6,14.3,0.8,51.9
push,push,42,5,11.9,1.4,57.5
push,lob,42,3,7.1,0.7,29.2
push,net shot,42,1,2.4,0.1,100.0
push,rush,42,1,2.4,0.1,66.7
push,cross-court net shot,42,0,0.0,0.0,
push,driven flight,42,0,0.0,0.0,
return net,net shot,43,43,100.0,38.5,47.7
return net,push,43,43,100.0,16.9,48.9
return net,lob,43,40,93.0,27.2,43.5
return net,rush,43,35,81.4,6.0,68.3
return net,cross-court net shot,43,32,74.4,6.8,46.5
return net,drive,43,22,51.2,2.3,47.1
return net,return net,43,9,20.9,1.3,47.1
return net,smash,43,4,9.3,0.5,81.2
return net,driven flight,43,2,4.7,0.2,73.3
return net,back-court drive,43,0,0.0,0.0,
return net,clear,43,0,0.0,0.1,
return net,defensive return drive,43,0,0.0,0.0,
return net,defensive return lob,43,0,0.0,0.0,
return net,wrist smash,43,0,0.0,0.1,
rush,defensive return drive,18,15,83.3,30.2,58.1
rush,return net,18,15,83.3,40.1,30.3
rush,defensive return lob,18,12,66.7,20.0,56.6
rush,drive,18,2,11.1,4.6,6.2
rush,lob,18,1,5.6,1.2,100.0
rush,push,18,1,5.6,1.8,100.0
rush,back-court drive,18,0,0.0,0.3,
rush,clear,18,0,0.0,0.2,
rush,cross-court net shot,18,0,0.0,0.2,
rush,net shot,18,0,0.0,0.7,
rush,rush,18,0,0.0,0.5,
smash,return net,41,41,100.0,83.9,43.6
smash,defensive return drive,41,26,63.4,6.4,41.1
smash,defensive return lob,41,24,58.5,5.7,42.9
smash,cross-court net shot,41,14,34.1,2.3,57.5
smash,net shot,41,7,17.1,0.9,37.2
smash,drive,41,1,2.4,0.4,0.0
smash,drop,41,1,2.4,0.1,33.3
smash,clear,41,0,0.0,0.0,
smash,driven flight,41,0,0.0,0.0,
smash,lob,41,0,0.0,0.1,
smash,push,41,0,0.0,0.0,
smash,smash,41,0,0.0,0.1,
smash,wrist smash,41,0,0.0,0.0,
wrist smash,return net,40,40,100.0,77.5,43.0
wrist smash,defensive return drive,40,28,70.0,8.3,51.7
wrist smash,defensive return lob,40,21,52.5,7.7,46.7
wrist smash,cross-court net shot,40,11,27.5,2.7,48.3
wrist smash,net shot,40,7,17.5,1.4,57.9
wrist smash,drive,40,5,12.5,0.9,49.2
wrist smash,lob,40,4,10.0,0.9,70.0
wrist smash,push,40,2,5.0,0.5,58.3
wrist smash,wrist smash,40,1,2.5,0.1,66.7
wrist smash,back-court drive,40,0,0.0,0.0,
wrist smash,clear,40,0,0.0,0.0,
wrist smash,drop,40,0,0.0,0.0,
wrist smash,rush,40,0,0.0,0.0,
