player,match,opponent_move,response,probability
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,back-court drive,0.038
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,clear,0.5
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,cross-court net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,defensive return lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,drop,0.104
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,push,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,return net,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,rush,0.009
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,smash,0.292
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,lob,wrist smash,0.057
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,clear,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,cross-court net shot,0.038
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,defensive return lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,drop,0.019
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,lob,0.404
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,net shot,0.365
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,push,0.135
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,return net,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,rush,0.038
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,net shot,wrist smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,back-court drive,0.114
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,clear,0.543
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,cross-court net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,defensive return lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,drop,0.057
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,push,0.029
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,return net,0.029
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,rush,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,smash,0.114
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,push,wrist smash,0.114
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,clear,0.007
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,cross-court net shot,0.029
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,defensive return lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,drive,0.036
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,drop,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,lob,0.246
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,net shot,0.333
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,push,0.225
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,return net,0.101
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,rush,0.022
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,return net,wrist smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,clear,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,cross-court net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,defensive return drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,defensive return lob,0.333
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,drive,0.333
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,drop,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,push,0.333
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,return net,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,rush,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,rush,wrist smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,clear,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,cross-court net shot,0.021
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,defensive return drive,0.062
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,defensive return lob,0.062
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,drive,0.021
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,drop,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,push,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,return net,0.833
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,rush,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,smash,wrist smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,back-court drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,clear,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,cross-court net shot,0.184
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,defensive return drive,0.245
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,defensive return lob,0.143
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,drive,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,drop,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,lob,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,net shot,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,push,0.061
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,return net,0.367
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,rush,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,smash,0.0
CHOU Tien Chen,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,wrist smash,wrist smash,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,back-court drive,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,clear,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,cross-court net shot,0.286
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,defensive return drive,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,defensive return lob,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,drive,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,drop,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,lob,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,net shot,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,push,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,return net,0.714
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,rush,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,smash,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,back-court drive,wrist smash,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,back-court drive,0.01
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,clear,0.344
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,cross-court net shot,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,defensive return drive,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,defensive return lob,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,drive,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,drop,0.25
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,lob,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,net shot,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,push,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,return net,0.01
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,rush,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,smash,0.156
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,clear,wrist smash,0.229
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,back-court drive,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,clear,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,cross-court net shot,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,defensive return drive,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,defensive return lob,0.0
Kento MOMOTA,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,cross-court net shot,drive,0.0
